Image; Model; Series; Yen Price; Release Date; Notes;Type
HG RX-78-2 E235 Gundam JR-East Ver.jpg;RX-78-2 E235 Gundam JR-EAST Ver.;Mobile Suit Gundam;N/A;2020 January;East Japan Railway Company (JR-EAST) exclusive color variant of the Building Experience Ver., offered as a reward for JR-EAST Gundam Stamp Rally by visiting all 65 stations., ;HGUC
HGUC Dijeh -Clear Color-.jpeg;MSK-008 Dijeh [Clear Color];Mobile Suit Zeta Gundam;¥2,100;2020 January;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC-219., ;HGUC
HGAC Leo (Full Weapon Set).jpg;OZ-06MS Leo (Full Weapon Set);Mobile Suit Gundam Wing;¥2,100;2020 January;P-Bandai exclusive re-release of HGAC-211 with Parachute Pack, additional hand parts, and parts from HGAC OZ-06MS Leo (Space Type) and HGAC OZ-06MS Leo (Flight Unit Type)., ;HGUC
HGUC Gundam J.League Ver.jpg;RX-78-2 Gundam J.LEAGUE Ver.;Mobile Suit Gundam;¥1,819;2020 February;J.LEAGUE exclusive color variant of HGUC-191. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Pixy (Fred Reber Custom).jpg;RX-78XX Pixy (Fred Reber Custom);Mobile Suit Gundam Side Story: Missing Link;¥2,000;2020 February;P-Bandai exclusive color variant of HGUC RX-78XX Gundam Pixy., ;HGUC
HGUC Slave Wraith (Parachute Pack).jpg;RX-79[G]SW Slave Wraith (Parachute Pack);Mobile Suit Gundam Side Story: Missing Link;¥2,200;2020 February;P-Bandai exclusive parts and color variant of HGUC-210, with parachute pack from HGUC RX-79[G] Gundam Ground Type (Parachute Pack)., ;HGUC
HGUC Gundam TR-6 -Haze'n-thley II Rah-.jpg;RX-124 Gundam TR-6 [Haze'n-thley II-Rah];Advance of Zeta: The Flag of Titans;¥5,900;2020 February;P-Bandai exclusive parts and color variant of HGUC RX-124 Gundam TR-6 [Haze'n-thley II]. Transforms via parts-swapping. Released to commemorate the 10th anniversary of P-Bandai., ;HGUC
HGUC Efreet (Doug Schneid Custom).jpg;MS-08TX Doug Schneid's Efreet;Mobile Suit Gundam Side Story: Missing Link;¥2,400;2020 March;P-Bandai exclusive parts and color variant of HGUC MS-08TX Efreet., ;HGUC
HGUC GM Ground Type (Slave Wraith Team Custom) (Parachute Pack).jpg;RGM-79[G] GM Ground Type (Slave Wraith Team Custom) (Parachute Pack);Mobile Suit Gundam Side Story: Missing Link;¥2,200;2020 March;P-Bandai exclusive color variant of HGUC RX-79[G] Gundam Ground Type (Parachute Pack) without the RX-79[G] Gundam Ground Type head., ;HGUC
HGUC Varguil.jpg;AMS-123X Varguil;Mobile Suit Moon Gundam;¥2,500;2020 April;P-Bandai exclusive parts and color variant of HGUC-215., ;HGUC
HGUC Zeta plus (Test Image Color).jpg;MSZ-006A1 Zeta plus (Test Image Color);Gundam Sentinel;¥2,500;2020 April;P-Bandai exclusive color variant of HGUC MSZ-006A1 Zeta plus (Test Image Color). Includes water slide decal sheet., ;HGUC
HGCE Strike Gundam KASHIMA ANTLERS Ver.jpg;GAT-X105 Strike Gundam KASHIMA ANTLERS Ver.;Mobile Suit Gundam SEED;¥2,728;2020 April;Kashima Antlers exclusive color variant of HGCE-171. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Strike Gundam F.C. TOKYO Ver.jpg;GAT-X105 Strike Gundam F.C. TOKYO Ver.;Mobile Suit Gundam SEED;¥2,728;2020 April;F.C. Tokyo exclusive color variant of HGCE-171. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Impulse Gundam KAWASAKI FRONTALE Ver.jpg;ZGMF-X56S Impulse Gundam KAWASAKI FRONTALE Ver.;Mobile Suit Gundam SEED Destiny;¥2,728;2020 April;Kawasaki Frontale exclusive color variant of HGCE-198. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Strike Gundam SANFRECCE HIROSHIMA Ver.jpg;GAT-X105 Strike Gundam SANFRECCE HIROSHIMA Ver.;Mobile Suit Gundam SEED;¥2,728;2020 April;Sanfrecce Hiroshima exclusive color variant of HGCE-171. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Impulse Gundam SAGAN TOSU Ver.jpg;ZGMF-X56S Impulse Gundam SAGAN TOSU Ver.;Mobile Suit Gundam SEED Destiny;¥2,728;2020 April;Sagan Tosu exclusive color variant of HGCE-198. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Impulse Gundam OITA TRINITA Ver.jpg;ZGMF-X56S Impulse Gundam OITA TRINITA Ver.;Mobile Suit Gundam SEED Destiny;¥2,728;2020 April;Oita Trinita exclusive color variant of HGCE-198. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGCE Impulse Gundam VEGALTA SENDAI Ver.jpg;ZGMF-X56S Impulse Gundam VEGALTA SENDAI Ver.;Mobile Suit Gundam SEED Destiny;¥2,728;2020 May;Vegalta Sendai exclusive color variant of HGCE-198. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGUC Strike Gundam YOKOHAMA F-MARINOS Ver.jpg;GAT-X105 Strike Gundam YOKOHAMA F-MARINOS Ver.;Mobile Suit Gundam SEED;¥2,728;2020 May;Yokohama F. Marinos exclusive color variant of HGCE-171. Released as part of the Gundam 40th anniversary celebration., ;HGUC
HGAC Gundam Geminass 01.jpg;OZX-GU01A Gundam Geminass 01;New Mobile Report Gundam Wing Dual Story: G-Unit;¥2,000;2020 May;P-Bandai exclusive release as part of Bandai's ''G-Unit Re: Operation'' project., ;HGUC
HGUC Gundam G04.jpg;RX-78-4 Gundam G04;Mobile Suit Gundam Side Story: Space, To the End of a Flash;¥2,250;2020 May;P-Bandai exclusive release. Includes parts to create RX-78-4[Bst] Gundam G04 [Bst]., ;HGUC
HGUC Dodai Kai (21st Century Real Type Ver.).jpg;Do-Dai Kai (21st Century Real Type Ver.);Mobile Suit Zeta Gundam;¥1,500;2020 June;The Gundam Base Tokyo exclusive color variant of the HGUC Do-Dai Kai. Includes water slide decal sheet., ;HGUC
HGUC Gundam TR-6 -Kehaar II-.jpg;RX-124 Gundam TR-6 [Kehaar II];Advance of Zeta: The Flag of Titans;¥2,500;2020 June;P-Bandai exclusive parts and color variant of HGUC RX-124 Gundam TR-6 [Woundwort]. Includes adaptor  for Action Base., ;HGUC
HGUC ν Gundam (First Lot Color Ver.).jpg;RX-93 ν Gundam (First Lot Color Ver.);Mobile Suit Gundam: Char's Counterattack;N/A;2020 July;GUNDAM FANCLUB exclusive color variant of HGUC-086. Offered as a membership benefit., ;HGUC
HGCE Destiny Gundam -Special Coating-.jpg;ZGMF-X42S Destiny Gundam [Special Coating];Mobile Suit Gundam SEED Destiny;¥4,000;2020 July;The Gundam Base Tokyo exclusive metallic color variant of HGCE-224., ;HGUC
HGUC R-Jarja (Twilight AXIS Ver.).jpg;AMX-104 R-Jarja (Twilight AXIS Ver.) ;Mobile Suit Gundam Twilight Axis;¥1,900;2020 July;P-Bandai exclusive color variant of HGUC-220., ;HGUC
HGFC Death Beast.jpg;Death Beast;Mobile Fighter G Gundam;¥2,250;2020 July;P-Bandai exclusive parts variant of HGUC-230. Uses color variant of F plate runner of HGBD:R-011., ;HGUC
HG Gundam -BEYOND GLOBAL- -Clear Color-.jpg;RX-78-2 Gundam BEYOND GLOBAL [Clear Color];Mobile Suit Gundam;₩26,400 / ¥2,000;2020 August (Korea) / 2020 September;Events and The Gundam Base Tokyo exclusive clear color variant of HG RX-78-2 Gundam [BEYOND GLOBAL]., ;HGUC
GUNPLA 40th Memorial Set.jpg;GUNPLA 40th Memorial Set;Mobile Suit Gundam;₩54,500 / ¥4,546;2020 August (Korea) / 2020 November;Events exclusive boxed set containing BMC-04, HGUC-021, and RG-01 with clear color armor parts. Released to coincide with the 40th anniversary of Gunpla. ;HGUC
HGUC Crossbone Gundam X-1 Full Cloth.jpg;XM-X1 Crossbone Gundam X-1 Full Cloth;Mobile Suit Crossbone Gundam: Steel 7;¥2,300;2020 August;P-Bandai exclusive color variant of HGBF-035., ;HGUC
HGUC Dictus (Callisto of Light Custom).jpg;Dictus (Callisto of Light Custom);Mobile Suit Crossbone Gundam: Steel 7;¥3,600;2020 August;P-Bandai exclusive release. Transforms via parts-swapping., ;HGUC
HGUC Pale Rider (Ground Heavy Equipment Type) -Clear Color-.jpg;RX-80PR Pale Rider (Ground Heavy Equipment Type) [Clear Color];Mobile Suit Gundam Side Story: Missing Link;¥2,000;2020 September;The Gundam Base Tokyo exclusive clear color variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
HGAC Gundam Sandrock -Clear Color-.jpg;XXXG-01SR Gundam Sandrock [Clear Color];Mobile Suit Gundam Wing;¥1,500;2020 September;Events and The Gundam Base Tokyo exclusive clear color variant of HGAC-228., ;HGUC
RM Argama Catapult Deck.jpg;Argama Catapult Deck;Mobile Suit Zeta Gundam;¥12,800;2020 September;P-Bandai exclusive diorama kit for HGUC kits from ''Zeta Gundam'' series. Includes water slide decal sheet. Manufactured by MegaHouse under their Realistic Model Series banner. Most expensive HG accessory kit to date., ;HGUC
HGAC Assault Booster & High Mobility Unit for Gundam Geminass 01.jpg;Assault Booster & High Mobility Unit for OZX-GU01A Gundam Geminass 01;New Mobile Report Gundam Wing Dual Story: G-Unit;¥1,600;2020 September;P-Bandai exclusive accessory kit to convert OZX-GU01A Gundam Geminass 01 into OZX-GU01A Gundam Geminass 01 Space Unit or OZX-GU01A Gundam Geminass 01 High Mobility Unit. Both sets of equipment can also be combined into a kit-exclusive Combined Form. Released as part of P-Bandai's ''G-Unit Re: Operation'' project., ;HGUC
HGUC Gundam TR-6 -Woundwort- -Clear Color-.jpg;RX-124 Gundam TR-6 [Woundwort] [Clear Color];Advance of Zeta: The Flag of Titans;¥1,800;2020 October;The Gundam Base Tokyo exclusive clear color variant of HGUC RX-124 Gundam TR-6 [Woundwort]., ;HGUC
HGUC Second V -Clear Color-.jpg;Second V [Clear Color];Mobile Suit Victory Gundam (Novel);¥2,200;2020 October; The Gundam Base Tokyo exclusive clear color variant of HGUC Second V., ;HGUC
HGAW Gundam Airmaster Burst.jpg;GW-9800-B Gundam Airmaster Burst;After War Gundam X;¥2,200;2020 October;P-Bandai exclusive parts and color variant of HGAW-184., ;HGUC
HGAW Daughtress.jpg;DT-6800A Daughtress;After War Gundam X;¥1,200;2020 October;P-Bandai exclusive parts and color variant of HGBD:R DT-6800EL Eldora Daughtress., ;HGUC
HG Gundam G40 (Industrial Design Ver.) -Clear Color-.jpg;Gundam G40 (Industrial Design Ver.) [Clear Color];Mobile Suit Gundam G40;¥3,200;2020 November;GUNPLA EXPO TOKYO 2020 feat. GUNDAM conference exclusive clear color variant of HG Gundam G40 (Industrial Design Ver.)., ;HGUC
HG Gundam -BEYOND GLOBAL- -Glow in Dark Ver.-.jpg;RX-78-2 Gundam [BEYOND GLOBAL] [Glow in Dark Ver.];Mobile Suit Gundam;N/A;2020 November;Gundam.info exclusive color variant of HG RX-78-2 Gundam [BEYOND GLOBAL], offered as a grand prize for Gunpla 40th Anniversary Campaign 2020., ;HGUC
HGUC Gundam TR-1 -Haze'n-thley-Rah II-.jpg;RX-121-3C Gundam TR-1 [Haze'n-thley-Rah II];Advance of Zeta: The Flag of Titans;¥5,400;2020 November;P-Bandai exclusive parts and color variant of HGUC RX-121-3C Gundam TR-1 [Haze'n-thley]., ;HGUC
HGCE 8 Justice Gundam -Clear Color-.jpg;ZGMF-X19A 8 Justice Gundam [Clear Color];Mobile Suit Gundam SEED Destiny;¥2,200;2020 December (The Gundam Base Tokyo) / 2021 January;P-Bandai and The Gundam Base Tokyo exclusive clear color variant of HGCE-231., ;HGUC
HGUC Todesritter.jpg;AMX-018[HADES] Todesritter;Mobile Suit Gundam Side Story: Missing Link;¥3,000;2020 December;P-Bandai exclusive release., ;HGUC
HGAC Gundam Heavyarms -Clear Color-.jpg;XXXG-01H Gundam Heavyarms [Clear Color];Mobile Suit Gundam Wing;¥1,500;2021 January;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC-236., ;HGUC
HGUC Zaku II (21st Century Real Type Ver.).jpg;MS-06 Zaku II (21st Century Real Type Ver.);Mobile Suit Gundam;¥2,000;2021 January;The Gundam Base Tokyo exclusive color variant of the HGUC-234. Includes a clear display base and water slide decal sheet., ;HGUC
HG G-3 Gundam -BEYOND GLOBAL-.jpg;RX-78-3 G-3 Gundam [BEYOND GLOBAL];Mobile Suit Variations;¥2,200;2021 January;P-Bandai exclusive color variant of HG RX-78-2 Gundam [BEYOND GLOBAL]., ;HGUC
HGUC Silver Bullet Suppressor -Clear Color-.jpg;ARX-014S Silver Bullet Suppressor [Clear Color];Mobile Suit Gundam Narrative;¥2,700;2021 January;P-Bandai exclusive clear color variant of HGUC-225., ;HGUC
HGUC Gundam TR-6 -Haze'n-thley II-Rah- -Clear Color-.jpg;RX-124 Gundam TR-6 [Haze'n-thley II-Rah] [Clear Color];Advance of Zeta: The Flag of Titans;¥5,900;2021 January;P-Bandai exclusive clear color variant of HGUC RX-124 Gundam TR-6 [Haze'n-thley II-Rah]., ;HGUC
HGAC Gundam Sandrock Custom.jpg;XXXG-01SR2 Gundam Sandrock Custom;Mobile Suit Gundam Wing;¥1,500;2021 January;P-Bandai exclusive parts variant of HGAC-228., ;HGUC
HGAC Vayeate & Mercurius.jpg;OZ-13MSX1 Vayeate & OZ-13MSX2 Mercurius;Mobile Suit Gundam Wing;¥3,800;2021 January;P-Bandai exclusive release., ;HGUC
HGAC Gundam Geminass 02.jpg;OZX-GU02A Gundam Geminass 02;New Mobile Report Gundam Wing Dual Story: G-Unit;¥2,000;2021 January;P-Bandai exclusive color variant of HGAC OZX-GU01A Gundam Geminass 01., ;HGUC
HGUC Gundam TR-1 -Hazel Owsla- Next-Generation Mass Production Type (Combat Deployment Colors).jpg;RX-121-2 Gundam TR-1 [Hazel Owsla] Next-Generation Mass Production Type (Combat Deployment Colors);Advance of Zeta: The Flag of Titans;¥3,000;2021 February;P-Bandai exclusive parts and color variant of HGUC-057 with color variant of HGUC Emergency Escape Pod [Primrose]., ;HGUC
HGUC Booster Expansion Set for Cruiser Mode.jpg;Booster Expansion Set for Cruiser Mode;Advance of Zeta: The Flag of Titans;¥1,500;2021 February;P-Bandai exclusive accessory kit for HGUC RX-124 Gundam TR-6 [Haze'n-thley II-Rah]. ;HGUC
HG RX-78-2 Gundam -BEYOND GLOBAL- -The Gundam Base Color-.jpg;RX-78-2 Gundam [BEYOND GLOBAL] [The Gundam Base Color];Mobile Suit Gundam;¥2,200;2021 March;The Gundam Base Tokyo exclusive color variant of HG RX-78-2 Gundam [BEYOND GLOBAL]., ;HGUC
HGUC Gundam G05.jpg;RX-78-5 Gundam G05;Mobile Suit Gundam Side Story: Space, To the End of a Flash;¥2,250;2021 March;P-Bandai exclusive parts and color variant of HGUC RX-78-4 Gundam G04. Includes parts to create RX-78-5[Bst] Gundam G05 [Bst]., ;HGUC
HG Extreme Gundam (type-Leos) Eclipse-Face.jpg;Extreme Gundam Type Leos Extreme Gundam (type-Leos) Eclipse-Face;Mobile Suit Gundam Extreme Vs. Maxi Boost ON;¥2,700;2021 March;P-Bandai exclusive color variant of HGUC Extreme Gundam & Extreme Gundam Type Leos Eclipse-F Parts (EXVS. 10th ANNIVERSARY COLOR Ver.)., ;HGUC
HGUC Pale Rider Cavalry.jpg;RX-80PR-2 Pale Rider Cavalry;Mobile Suit Gundam Side_Story: Missing Link (Manga);¥2,200;2021 April;P-Bandai exclusive parts and color variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
HGUC Gundam Mk-III.jpg;MSF-007 Gundam Mk-III;Z-MSV;¥2,200;2021 April;P-Bandai exclusive parts and color variant of HGBD:R-009., ;HGUC
HGUC Unicorn Gundam Perfectibility (Destroy Mode) (Final Battle Ver.) Ver.GSF.jpg;RX-0 Unicorn Gundam Perfectibility (Destroy Mode) (Final Battle Ver.) Ver.GSF;Mobile Suit Gundam UC Perfectibility;¥3,400;2021 April;The Gundam Base Fukuoka exclusive color variant of HGUC RX-0 Unicorn Gundam Perfectibility (Destroy Mode) with green psychoframe. Originally planned to be released in Summer 2020, but was delayed due to COVID-19 outbreak.;HGUC
HGAC Ground Heavy Equipment Unit Expansion Parts for Gundam Geminass 02.jpg;Ground Heavy Equipment Unit Expansion Parts for OZX-GU02A Gundam Geminass 02;New Mobile Report Gundam Wing Dual Story: G-Unit;¥2,000;2021 May;P-Bandai exclusive accessory kit to convert OZX-GU02A Gundam Geminass 02 into OZX-GU02A Gundam Geminass 02 Ground Heavy Equipment Unit. Released as part of P-Bandai's ''G-Unit Re: Operation'' project., ;HGUC
HGUC Crossbone Gundam X-0 Full Cloth.jpg;XM-X0 Crossbone Gundam X-0 Full Cloth;Mobile Suit Crossbone Gundam: Ghost;¥2,500;2021 May;P-Bandai exclusive parts variant of HGUC XM-X0 Crossbone Gundam X-0., ;HGUC
HGUC Dictus (Callisto of Shadow Custom).jpg;Dictus (Callisto of Shadow Custom);Mobile Suit Crossbone Gundam: Steel 7;¥3,600;2021 May;P-Bandai exclusive parts variant of HGUC Dictus (Callisto of Light Custom)., ;HGUC
HGUC Penelope -Clear Color- Limited Package.jpg;RX-104FF Penelope [Clear Color] Limited Package;Mobile Suit Gundam Hathaway;¥6,819;2021 June;Theater and The Gundam Base Tokyo exclusive clear color variant of HGUC-229 with limited first press release box cover. Released for the theatrical premiere of ''Mobile Suit Gundam Hathaway''. Originally planned to be released in 2021 May, but was delayed due to postponed the theatrical release.;HGUC
EG Conan Edogawa (MS-06S Zaku II color) & HG MS-06S Zaku II (Shuichi Akai color).jpg;Conan Edogawa (MS-06S Zaku II color) & MS-06S Zaku II (Shuichi Akai color);Mobile Suit Gundam Hathaway;¥3,000;2020 June;The Gundam Base Tokyo and P-Bandai exclusive twin pack color variant of the HGUC-234 and EG Conan Edogawa. ;HGUC
HGUC Gundam Mk-II (21st Century Real Type Ver.).jpg;RX-178 Gundam Mk-II (21st Century Real Type Ver.);Mobile Suit Zeta Gundam;¥1,700;2021 June;The Gundam Base Tokyo exclusive color variant of the HGUC-193. Includes a clear display base and water slide decal sheet., ;HGUC
HGUC Gelgoog Vertex.jpg;MS-14J/BR Gelgoog Vertex;MSV-R;¥2,500;2021 June;P-Bandai exclusive parts and color variant of HGUC MS-14J ReGelgu., ;HGUC
HGUC Rick Dias.jpg;RMS-099 Rick Dias;Mobile Suit Zeta Gundam;¥1,900;2021 June;P-Bandai exclusive color variant of HGUC RMS-099 Rick Dias (Quattro Bajeena Custom). ;HGUC
HGUC Zaku II -Metallic-.jpg;MS-06S Char's Zaku II [Metallic];Mobile Suit Gundam;¥1,600;2021 July;The Gundam Base Tokyo exclusive metallic color variants of the HGUC-234., ;HGUC
HG Unicorn Gundam Head Display Base (Psycho Frame Color Variation Ver.) & Unicorn Gundam 02 Banshee Head Display Base Set.jpg;RX-0 Unicorn Gundam Head Display Base (Psycho Frame Color Variation Ver.) & RX-0 Unicorn Gundam 02 Banshee Head Display Base Set;Mobile Suit Gundam Unicorn;¥1,500;2021 July;The Gundam Base Tokyo exclusive twin pack containing of 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby'' and 1/48 scale transformable RX-0 Unicorn Gundam 02 Banshee head display base originally offered with the May 2013 issue of ''Hobby Japan''. Compatible with HGUC-100/101 and HGUC-134/135. Includes green, yellow and blue psycho frame for RX-0 Unicorn Gundam head display base., ;HGUC
HGUC Barzam (A.O.Z Re-Boot Ver.).jpg;RMS-154 Barzam (A.O.Z Re-Boot Ver.);Advance of Zeta Re-Boot: Gundam Inle - Black Rabbit Had a Dream;¥2,200;2021 July;P-Bandai exclusive release., ;HGUC
HGUC Barzam Re-Zeon Captured (A.O.Z Re-Boot Ver.).jpg;ARZ-154 Barzam Re-Zeon Captured (A.O.Z Re-Boot Ver.);Advance of Zeta Re-Boot: Gundam Inle - Black Rabbit Had a Dream;¥2,200;2021 July;P-Bandai exclusive color variant of HGUC RMS-154 Barzam (A.O.Z Re-Boot Ver.)., ;HGUC
HGUC Pale Rider DII.jpg;RX-80PR-4 Pale Rider DII;Anaheim Laboratory Log;¥2,200;2021 August;P-Bandai exclusive parts and color variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
HGCE Windam (Neo Roanoke Custom).jpg;GAT-04 Windam (Neo Roanoke Custom);Mobile Suit Gundam SEED Destiny;¥1,400;2021 August;P-Bandai exclusive color variant of HGUC-232., ;HGUC
HGCE Expansion Set for Windam & Dagger L.jpg;Expansion Set for GAT-04 Windam & GAT-02L2 Dagger L;Mobile Suit Gundam SEED Destiny;¥1,500;2021 August;P-Bandai exclusive accessory kit for HGCE-232 and HGCE-237. Includes water slide decal sheet., ;HGUC
N/A;RX-78-2 Gundam [BEYOND GLOBAL] GOLD Ver.;Mobile Suit Gundam;N/A;2021;GUNPLA BUILDER’S CONTEST JAPAN 2021 exclusive gold chrome plated variant of HG RX-78-2 Gundam [BEYOND GLOBAL], offered as a prize item exclusively for 1st place in each department., ;HGUC
N/A;RX-78-2 Gundam [BEYOND GLOBAL] SILVER Ver.;Mobile Suit Gundam;N/A;2021;GUNPLA BUILDER’S CONTEST JAPAN 2021 exclusive silver chrome plated variant of HG RX-78-2 Gundam [BEYOND GLOBAL], offered as a prize item exclusively for 2nd place in each department., ;HGUC
N/A;RX-78-2 Gundam [BEYOND GLOBAL] BRONZE Ver.;Mobile Suit Gundam;N/A;2021;GUNPLA BUILDER’S CONTEST JAPAN 2021 exclusive bronze chrome plated variant of HG RX-78-2 Gundam [BEYOND GLOBAL], offered as a prize item exclusively for 3rd place in each department., ;HGUC
HGCE Destiny Gundam (Heine Westenfluss Custom) -Clear Color-.jpg;ZGMF-X42S-REVOLUTION Destiny Gundam (Heine Westenfluss Custom) [Clear Color];Mobile Suit Gundam SEED Destiny;¥2,200;2021 September;Events and The Gundam Base Tokyo exclusive clear color variant of HGCE-226., ;HGUC
HGAC Leo-S.jpg;OZ-06MS-SS1 Leo-S;New Mobile Report Gundam Wing Dual Story: G-Unit;¥1,800;2021 September;P-Bandai exclusive parts and color variant of HGAC-211., ;HGUC
HGUC Messer Type-F02 (Commander Type).jpg;Me02R-F02c Messer Type-F02 (Commander Type);Mobile Suit Gundam Hathaway;¥3,000;2021 September;P-Bandai exclusive parts and color variant of HGUC-233. Includes additional right shoulder, leg and backpack parts to create Me02R-Fc Messer Type-F Naked (Commander Type)., ;HGUC
N/A;Me02R-F02 Messer Type-F02;Mobile Suit Gundam Hathaway;¥2,900;2021 September;P-Bandai exclusive parts variant of HGUC-233., ;HGUC
HGUC Unicorn Gundam (Destroy Mode) Ver.NIKE SB.jpg;RX-0 Unicorn Gundam (Destroy Mode) Ver.NIKE SB;Mobile Suit Gundam Unicorn;¥2,200;2021 October;P-Bandai exclusive re-release of HGUC-100. Includes NIKE SB marking sheet., ;HGUC
HGUC Unicorn Gundam 02 Banshee (Destroy Mode) Ver.NIKE SB.jpg;RX-0 Unicorn Gundam 02 Banshee (Destroy Mode) Ver.NIKE SB;Mobile Suit Gundam Unicorn;¥2,200;2021 October;P-Bandai exclusive re-release of HGUC-134. Includes NIKE SB marking sheet., ;HGUC
N/A;AMS-123X Varguil [Clear Color];Mobile Suit Moon Gundam;¥2,500;2021 October;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC AMS-123X Varguil., ;HGUC
HGUC Gundam -PR ambassador of the Japan Pavilion, Expo 2020 Dubai-.jpg;RX-78-2 Gundam [PR ambassador of the Japan Pavilion, Expo 2020 Dubai];Mobile Suit Gundam;¥2,200;2021 October;P-Bandai and The Gundam Base Tokyo exclusive color variant of HGUC-191., ;HGUC
N/A;Arch Angel Catapult Deck;Mobile Suit Gundam SEED;¥19,800;2021 October;P-Bandai exclusive diorama kit for HGCE-171, and HGSEED-07. Manufactured by MegaHouse under their Realistic Model Series banner., ;HGUC
N/A;NRX-055 Baund Doc (Gates Capa Custom);Mobile Suit Zeta Gundam;¥5,000;2021 October;P-Bandai exclusive color variant of HGUC-235., ;HGUC
N/A;F91 Gundam F91 Vital Unit 1 & F91 Gundam F91 Vital Unit 2 Set;Mobile Suit Gundam F91 Prequel;¥2,900;2021 October;P-Bandai exclusive twin pack containing color variants of HGUC-167., ;HGUC
N/A;XXXG-01D Gundam Deathscythe [Clear Color];Mobile Suit Gundam Wing;¥1,500;2021 November;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC-239., ;HGUC
N/A;RX-78-4 Gundam G04 [Clear Color];Mobile Suit Gundam Side Story: Space, To the End of a Flash;¥2,250;2022 January;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC RX-78-4 Gundam G04., ;HGUC
N/A;RX-78-5 Gundam G05 [Clear Color];Mobile Suit Gundam Side Story: Space, To the End of a Flash;¥2,250;2022 January;Events and The Gundam Base Tokyo exclusive clear color variant of HGUC RX-78-5 Gundam G05., ;HGUC
N/A;OZ-10VMSX Gundam Aesculapius;New Mobile Report Gundam Wing Dual Story: G-Unit;¥3,600;2022 January;P-Bandai exclusive parts and color variant of HGAC OZX-GU01A Gundam Geminass 01., ;HGUC
N/A;RX-80WR White Rider;Mobile Suit Gundam Battle Operation Code Fairy;¥2,200;2022 February;P-Bandai exclusive parts variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
N/A;RX-80BR Black Rider;Mobile Suit Gundam Battle Operation Code Fairy;¥2,200;2022 February;P-Bandai exclusive parts variant of HGUC RX-80PR Pale Rider (Ground Heavy Equipment Type)., ;HGUC
N/A;MS-08TX[NF] Efreet Jaeger;Mobile Suit Gundam Battle Operation Code Fairy;¥2,400;2022 February;P-Bandai exclusive parts and color variant of HGUC-206., ;HGUC
N/A;G Structure [GS01] Tragedy In Jaburo;Mobile Suit Gundam;¥5,800;2022 April;P-Bandai exclusive diorama kit for HGCE-019, and HGCE-020. Manufactured by MegaHouse under their Realistic Model Series banner., ;HGUC
N/A;New Yak City Ruins;Mobile Suit Gundam;¥6,500;2022 April;P-Bandai exclusive diorama kit for HGCE-032, and HGCE-040. Manufactured by MegaHouse under their Realistic Model Series banner., ;HGUC
N/A;Last Shooting;Mobile Suit Gundam;¥6,800;2022 April;P-Bandai exclusive diorama kit for HGCE-021, HGCE-191, and HGCE-022. Manufactured by MegaHouse under their Realistic Model Series banner., ;HGUC
N/A;MHF-01O Lord Astray O;Mobile Suit Gundam SEED ASTRAY Princess of the Sky;¥2,400;2022 April;P-Bandai exclusive parts variant of HGBD:R-38. ;HGUC
N/A;RX-121-2P Gundam TR-1 [Hazel Owsla] Gigantic Arm Unit;Advance of Zeta: The Flag of Titans;¥6,200;2022 May;P-Bandai exclusive parts variant of HGUC-056 with HGUC Emergency Escape Pod [Primrose] and Gigantic Arm Unit., ;HGUC
N/A;XXXG-01H2 Gundam Heavyarms Custom;Mobile Suit Gundam Wing;¥1,500;2022 June;P-Bandai exclusive parts variant of HGUC-236., ;HGUC
N/A;EMS-TC02 Phantom Gundam;Mobile Suit Crossbone Gundam: Ghost;¥2,500;2022 June;P-Bandai exclusive release. Transforms via parts-swapping., ;HGUC
N/A;RX-78-02 GundamRX-78-02 Gundam (Cucuruz Doan's Island Ver.);Mobile Suit Gundam: Cucuruz Doan's Island;TBA;2022 TBA;P-Bandai exclusive parts variant of HGGO-026., ;HGUC
N/A;MS-06F Doan's Zaku;Mobile Suit Gundam: Cucuruz Doan's Island;TBA;2022 TBA;P-Bandai exclusive release., ;HGUC
118 [Hgaw-x-divider.jpg;GX-9900-DV Gundam X Divider;After War Gundam X;¥1,800;2010 December;Parts variant of HGAW-109., ;HGUC
